Track Name,Artist,Album,Release Date,Duration (ms),Played At,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Memorandum - Self Cover Ver.,TakaseToya,MEMO RANDUM,2021-06-09,166851,2024-11-12T16:10:50.272Z,0.636,0.311,-11.26,0.0307,0.733,1.66e-06,0.184,0.494,142.125
"Demo,",TakaseToya,Love°C,2023-12-13,179763,2024-11-12T15:36:25.680Z,0.49,0.727,-6.21,0.0591,0.235,0.0,0.122,0.333,174.072
ペアリング,音田 雅則,ペアリング,2024-02-27,189638,2024-11-12T15:32:01.852Z,0.812,0.494,-5.705,0.0688,0.33,0.0,0.306,0.486,91.0
あーあ。,ReN,ReNBRANDT,2021-09-08,168762,2024-11-12T15:28:51.695Z,0.636,0.509,-8.079,0.0639,0.208,0.0,0.108,0.379,169.896
ペアリング,音田 雅則,ペアリング,2024-02-27,189638,2024-11-12T15:22:55.330Z,0.812,0.494,-5.705,0.0688,0.33,0.0,0.306,0.486,91.0
あーあ。,ReN,ReNBRANDT,2021-09-08,168762,2024-11-12T15:19:45.188Z,0.636,0.509,-8.079,0.0639,0.208,0.0,0.108,0.379,169.896
end...,茉ひる,Handle,2024-06-09,216346,2024-11-12T15:16:00.282Z,0.596,0.688,-5.403,0.0411,0.0825,0.0,0.0966,0.611,155.999
マジックアワー,れん,マジックアワー,2023-09-06,205781,2024-11-12T15:12:00.043Z,0.62,0.626,-6.911,0.0347,0.109,5.14e-06,0.339,0.476,115.948
好きだから。,『ユイカ』,紺色に憧れて,2024-06-14,298709,2024-11-12T15:08:33.761Z,0.608,0.478,-6.331,0.0302,0.245,1.45e-05,0.322,0.705,165.027
HoriZOM,れん,Zom 100: Bucket List of the Dead (Soundtrack from the Netflix Film),2023-08-03,242559,2024-11-12T15:03:34.545Z,0.524,0.758,-7.893,0.0318,0.00112,0.00569,0.205,0.535,149.985
Wake me up?,YOAKE,Wake me up?,2021-09-29,187137,2024-11-12T14:59:31.492Z,0.555,0.622,-7.936,0.0412,0.0886,0.0,0.27,0.55,172.077
変わりゆく季節,れん,変わりゆく季節,2023-04-05,218975,2024-11-12T14:56:06.151Z,0.6,0.516,-7.684,0.0513,0.0908,0.0,0.458,0.497,117.826
空唄,Kentaro,空唄,2024-01-27,240000,2024-11-12T14:52:26.654Z,0.788,0.415,-10.684,0.0473,0.453,1.34e-05,0.329,0.843,92.985
空っぽ,れん,空っぽ,2022-12-07,293479,2024-11-12T14:48:26.180Z,0.586,0.353,-7.028,0.0268,0.605,0.0,0.474,0.362,84.031
ぎゅっと。,もさを。,こいのうた,2022-12-07,272800,2024-11-12T14:41:42.796Z,0.793,0.348,-7.5,0.0387,0.828,0.0,0.0983,0.759,119.974
ゆらせ,れん,ゆらせ,2022-08-24,267463,2024-11-12T14:36:38.939Z,0.486,0.889,-4.632,0.0672,0.000487,0.0,0.267,0.527,134.957
bye bye,AYANE,#Twenty,2023-06-28,168225,2024-11-12T14:28:11.704Z,0.809,0.582,-5.789,0.0436,0.436,0.0,0.208,0.718,93.001
通り雨,れん,通り雨,2023-11-22,181392,2024-11-12T14:25:33.387Z,0.655,0.592,-6.449,0.031,0.0108,0.0,0.37,0.381,124.068
fragrance,茉ひる,Handle,2024-06-09,205625,2024-11-12T14:22:31.507Z,0.653,0.756,-4.405,0.0363,0.139,0.0,0.13,0.447,119.967
緋寒桜,れん,緋寒桜,2023-02-01,193319,2024-11-12T14:19:05.387Z,0.593,0.805,-4.991,0.0369,0.00307,0.0,0.34,0.393,102.998
きらきら,もさを。,こいのうた,2022-12-07,180560,2024-11-12T14:15:21.050Z,0.704,0.73,-4.483,0.0283,0.441,0.0,0.265,0.67,104.94
最低,れん,最低,2022-10-12,200050,2024-11-12T14:12:19.983Z,0.584,0.745,-6.002,0.0419,0.00282,0.0,0.24,0.493,132.989
I want to see you,手がクリームパン,I want to see you,2021-12-29,165205,2024-11-12T14:08:43.255Z,0.549,0.283,-8.183,0.0485,0.953,0.0,0.133,0.467,145.767
"Demo,",TakaseToya,Love°C,2023-12-13,179763,2024-11-12T14:05:57.564Z,0.49,0.727,-6.21,0.0591,0.235,0.0,0.122,0.333,174.072
ごめんね,AYANE,ごめんね,2024-01-17,175786,2024-11-12T14:02:57.308Z,0.645,0.604,-5.111,0.164,0.192,0.0,0.154,0.518,178.001
泡沫雪(Awayuki),れん,泡沫雪(Awayuki),2024-05-10,180000,2024-11-12T13:58:59.923Z,0.755,0.41,-9.08,0.0521,0.719,0.0,0.228,0.498,99.977
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-12T13:54:13.110Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-12T13:52:00.820Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-12T13:35:18.356Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-12T13:33:05.536Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:50:46.354Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:49:33.228Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:47:20.331Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:45:07.558Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:42:55.402Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:40:43.244Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:38:30.699Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:36:18.948Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:34:05.590Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:31:53.865Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:29:41.820Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:27:29.401Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:25:17.516Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:23:02.646Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:20:52.862Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:18:40.523Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:16:28.385Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:14:15.981Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:12:03.730Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
Igloo,KISS OF LIFE,Lose Yourself,2024-10-15,131786,2024-11-10T15:09:51.719Z,0.916,0.609,-4.457,0.217,0.168,0.0,0.0906,0.873,139.912
